WebSocket transport not available. Install eventlet or gevent and gevent-websocket for improved performance.
 * Running on http://0.0.0.0:5001/ (Press CTRL+C to quit)
192.168.32.16 - - [01/Apr/2020 06:19:07] "GET /socket.io/?EIO=3&transport=polling&t=N4qBPHA&sid=2324ab1ef7514f8fb8ed557baf753c6f HTTP/1.1" 200 -
192.168.32.16 - - [01/Apr/2020 06:19:07] "GET /socket.io/?EIO=3&transport=polling&t=N4qBPHD&sid=29ee71d481d042b9a284980bc187666f HTTP/1.1" 200 -
192.168.32.16 - - [01/Apr/2020 06:19:16] "POST /socket.io/?EIO=3&transport=polling&t=N4qBUOF&sid=3046b9e6d73b4bb390e436b2248cc71e HTTP/1.1" 200 -
192.168.32.16 - - [01/Apr/2020 06:19:16] "GET /socket.io/?EIO=3&transport=polling&t=N4qBSDu&sid=3046b9e6d73b4bb390e436b2248cc71e HTTP/1.1" 200 -
192.168.32.16 - - [01/Apr/2020 06:19:16] "POST /socket.io/?EIO=3&transport=polling&t=N4qBUOI&sid=261dc9bdb6e2422ea2d33aa2faaac5a1 HTTP/1.1" 200 -
192.168.32.16 - - [01/Apr/2020 06:19:16] "GET /socket.io/?EIO=3&transport=polling&t=N4qBSD_&sid=261dc9bdb6e2422ea2d33aa2faaac5a1 HTTP/1.1" 200 -
192.168.32.16 - - [01/Apr/2020 06:19:20] "POST /socket.io/?EIO=3&transport=polling&t=N4qBVMo&sid=d1b3386325034d48aa1fb694e6da7cf0 HTTP/1.1" 200 -
192.168.32.16 - - [01/Apr/2020 06:19:20] "POST /socket.io/?EIO=3&transport=polling&t=N4qBVMk&sid=840964c67c664bacb0e946914ae951f3 HTTP/1.1" 200 -
192.168.32.16 - - [01/Apr/2020 06:19:20] "GET /socket.io/?EIO=3&transport=polling&t=N4qBSDs&sid=d1b3386325034d48aa1fb694e6da7cf0 HTTP/1.1" 200 -
192.168.32.16 - - [01/Apr/2020 06:19:20] "GET /socket.io/?EIO=3&transport=polling&t=N4qBSDw&sid=840964c67c664bacb0e946914ae951f3 HTTP/1.1" 200 -
192.168.32.16 - - [01/Apr/2020 06:19:28] "GET /socket.io/?EIO=3&transport=polling&t=N4qBRjj&sid=25ba23cd0f384fd2b43bfe268d98981a HTTP/1.1" 200 -
192.168.32.16 - - [01/Apr/2020 06:19:28] "GET /socket.io/?EIO=3&transport=polling&t=N4qBPH5&sid=18d7bc750de941d29cffe9c153c8b6ee HTTP/1.1" 200 -
192.168.32.16 - - [01/Apr/2020 06:19:28] "GET /socket.io/?EIO=3&transport=polling&t=N4qBPHA&sid=2324ab1ef7514f8fb8ed557baf753c6f HTTP/1.1" 200 -
192.168.32.16 - - [01/Apr/2020 06:19:28] "GET /socket.io/?EIO=3&transport=polling&t=N4qBPHD&sid=29ee71d481d042b9a284980bc187666f HTTP/1.1" 200 -
192.168.32.16 - - [01/Apr/2020 06:19:28] "GET /socket.io/?EIO=3&transport=polling&t=N4qBUPW&sid=3046b9e6d73b4bb390e436b2248cc71e HTTP/1.1" 200 -
192.168.32.16 - - [01/Apr/2020 06:19:28] "GET /socket.io/?EIO=3&transport=polling&t=N4qBVRk&sid=d1b3386325034d48aa1fb694e6da7cf0 HTTP/1.1" 200 -
192.168.32.16 - - [01/Apr/2020 06:19:28] "GET /socket.io/?EIO=3&transport=polling&t=N4qBVRn&sid=840964c67c664bacb0e946914ae951f3 HTTP/1.1" 200 -
192.168.32.16 - - [01/Apr/2020 06:19:28] "GET /socket.io/?EIO=3&transport=polling&t=N4qBUPc&sid=261dc9bdb6e2422ea2d33aa2faaac5a1 HTTP/1.1" 200 -
192.168.32.16 - - [01/Apr/2020 06:19:28] "GET /socket.io/?EIO=3&transport=polling&t=N4qBRju&sid=18d7bc750de941d29cffe9c153c8b6ee HTTP/1.1" 400 -
192.168.32.16 - - [01/Apr/2020 06:19:28] "POST /socket.io/?EIO=3&transport=polling&t=N4qBThg&sid=18d7bc750de941d29cffe9c153c8b6ee HTTP/1.1" 400 -
192.168.32.16 - - [01/Apr/2020 06:19:28] "POST /socket.io/?EIO=3&transport=polling&t=N4qBThl&sid=2324ab1ef7514f8fb8ed557baf753c6f HTTP/1.1" 400 -
192.168.32.16 - - [01/Apr/2020 06:19:28] "GET /socket.io/?EIO=3&transport=polling&t=N4qBRjx&sid=29ee71d481d042b9a284980bc187666f HTTP/1.1" 400 -
192.168.32.16 - - [01/Apr/2020 06:19:28] "POST /socket.io/?EIO=3&transport=polling&t=N4qBTho&sid=29ee71d481d042b9a284980bc187666f HTTP/1.1" 400 -
192.168.32.16 - - [01/Apr/2020 06:19:28] "GET /socket.io/?EIO=3&transport=polling&t=N4qBRjj&sid=25ba23cd0f384fd2b43bfe268d98981a HTTP/1.1" 400 -
192.168.32.16 - - [01/Apr/2020 06:19:28] "POST /socket.io/?EIO=3&transport=polling&t=N4qBThb&sid=25ba23cd0f384fd2b43bfe268d98981a HTTP/1.1" 400 -
192.168.32.16 - - [01/Apr/2020 06:19:28] "GET /socket.io/?EIO=3&transport=polling&t=N4qBWmb&sid=25ba23cd0f384fd2b43bfe268d98981a HTTP/1.1" 400 -
192.168.32.16 - - [01/Apr/2020 06:19:28] "POST /socket.io/?EIO=3&transport=polling&t=N4qBWmh&sid=18d7bc750de941d29cffe9c153c8b6ee HTTP/1.1" 400 -
192.168.32.16 - - [01/Apr/2020 06:19:28] "POST /socket.io/?EIO=3&transport=polling&t=N4qBWmv&sid=29ee71d481d042b9a284980bc187666f HTTP/1.1" 400 -
192.168.32.16 - - [01/Apr/2020 06:19:28] "POST /socket.io/?EIO=3&transport=polling&t=N4qBWmt&sid=2324ab1ef7514f8fb8ed557baf753c6f HTTP/1.1" 400 -
192.168.32.16 - - [01/Apr/2020 06:19:28] "POST /socket.io/?EIO=3&transport=polling&t=N4qBWn8&sid=25ba23cd0f384fd2b43bfe268d98981a HTTP/1.1" 400 -
192.168.32.16 - - [01/Apr/2020 06:19:28] "GET /socket.io/?EIO=3&transport=polling&t=N4qBXHr&sid=261dc9bdb6e2422ea2d33aa2faaac5a1 HTTP/1.1" 200 -
192.168.32.16 - - [01/Apr/2020 06:19:28] "GET /socket.io/?EIO=3&transport=polling&t=N4qBXHG&sid=d1b3386325034d48aa1fb694e6da7cf0 HTTP/1.1" 200 -
192.168.32.16 - - [01/Apr/2020 06:19:28] "GET /socket.io/?EIO=3&transport=polling&t=N4qBXHX&sid=3046b9e6d73b4bb390e436b2248cc71e HTTP/1.1" 200 -
192.168.32.16 - - [01/Apr/2020 06:19:28] "GET /socket.io/?EIO=3&transport=polling&t=N4qBXHh&sid=840964c67c664bacb0e946914ae951f3 HTTP/1.1" 200 -
